Days,Longitude,Latitude,Tilt,DNI,GHI
31,14.1554705140559,37.1593844542136,18,1800,3
28,14.1554705140559,37.1593844542136,18,1800,3
31,14.1554705140559,37.1593844542136,18,1800,4
30,14.1554705140559,37.1593844542136,18,1800,4
31,14.1554705140559,37.1593844542136,18,1800,4
30,14.1554705140559,37.1593844542136,18,1900,5
31,14.1554705140559,37.1593844542136,18,1900,5
31,14.1554705140559,37.1593844542136,18,1900,5
30,14.1554705140559,37.1593844542136,18,1800,4
31,14.1554705140559,37.1593844542136,18,1800,4
30,14.1554705140559,37.1593844542136,18,1800,4
31,14.1554705140559,37.1593844542136,18,1800,3
