Days,Longitude,Latitude,Tilt,DNI,GHI
31,12.75,37.7,18,1800,3
28,12.75,37.7,18,1800,3
31,12.75,37.7,18,1800,4
30,12.75,37.7,18,1800,4
31,12.75,37.7,18,1800,4
30,12.75,37.7,18,1900,5
31,12.75,37.7,18,1900,5
31,12.75,37.7,18,1900,5
30,12.75,37.7,18,1800,4
31,12.75,37.7,18,1800,4
30,12.75,37.7,18,1800,4
31,12.75,37.7,18,1800,3
