Days,Longitude,Latitude,Tilt,DNI,GHI
31,14.2932513709075,37.1959891638909,18,1800,3
28,14.2932513709075,37.1959891638909,18,1800,3
31,14.2932513709075,37.1959891638909,18,1800,4
30,14.2932513709075,37.1959891638909,18,1800,4
31,14.2932513709075,37.1959891638909,18,1800,4
30,14.2932513709075,37.1959891638909,18,1900,5
31,14.2932513709075,37.1959891638909,18,1900,5
31,14.2932513709075,37.1959891638909,18,1900,5
30,14.2932513709075,37.1959891638909,18,1800,4
31,14.2932513709075,37.1959891638909,18,1800,4
30,14.2932513709075,37.1959891638909,18,1800,4
31,14.2932513709075,37.1959891638909,18,1800,3
